__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_7_repetition_16,DONE,Levenshtein Distance,memoized,0.000952;0.001307;0.001023,9.70;10.81;7.00,0.001094,9.17,0.006490,27.52,0.000000
run_8_repetition_16,DONE,Factorial,normal,0.002158;0.486668;1.629861,41.23;2120.77;3814.47,0.706229,1992.16,2.122722,5976.47,16.555237
run_9_repetition_16,DONE,Factorial,memoized,0.002828;0.586480;0.372328,52.83;16975.85;41979.58,0.320545,19669.42,0.965635,59008.26,5.297012
run_10_repetition_16,DONE,Matrix Chain Multiplication,normal,0.009887;0.332853;2.338348,4.64;3.10;2.31,0.893696,3.35,2.683989,10.04,22.244107
run_11_repetition_16,DONE,Matrix Chain Multiplication,memoized,0.001020;0.002353;0.001907,6.19;5.53;6.50,0.001760,6.07,0.008515,18.22,0.000000
run_12_repetition_16,DONE,Can I Win,normal,0.003250;0.728685;1.664432,3.27;2.38;1.46,0.798789,2.37,2.399011,7.12,17.772780
run_13_repetition_16,DONE,Can I Win,memoized,0.001834;0.041907;0.063351,6.41;142.80;289.01,0.035697,146.07,0.110943,438.22,0.394610
run_14_repetition_16,DONE,K-equal Sum Partitions,normal,0.001173;0.023805;0.112424,10.26;143.49;291.90,0.045801,148.55,0.140278,445.65,0.216703
run_15_repetition_16,DONE,K-equal Sum Partitions,memoized,0.001333;0.025781;0.180475,10.08;159.39;332.10,0.069196,167.19,0.209833,501.57,0.182037
run_16_repetition_16,DONE,All Possible Full Binary Trees,normal,0.003715;0.699638;2.581357,17.25;19781.12;65674.71,1.094903,28491.03,3.287519,85473.08,28.452652
run_17_repetition_16,DONE,All Possible Full Binary Trees,memoized,0.001130;0.082521;0.259596,5.23;3709.71;9214.40,0.114416,4309.78,0.345602,12929.34,0.809366
run_0_repetition_17,DONE,Fibonacci,normal,0.000780;0.584591;3.979349,3.66;8.51;2.38,1.521574,4.85,4.568827,14.55,44.875077
run_1_repetition_17,DONE,Fibonacci,memoized,0.000735;0.000645;0.000312,4.02;10.20;3.99,0.000564,6.07,0.004644,18.20,0.000000
run_2_repetition_17,DONE,Knapsack,normal,0.000426;1.572112;9.549939,1.92;13.62;1.77,3.707492,5.77,11.125274,17.32,96.840696
run_3_repetition_17,DONE,Knapsack,memoized,0.000675;0.018537;0.019129,2.82;293.32;272.48,0.012780,189.54,0.041525,568.62,0.245584
run_4_repetition_17,DONE,Coin Change,normal,0.003774;0.103480;5.824738,6.12;5.35;4.64,1.977331,5.37,5.934387,16.11,41.760390
run_5_repetition_17,DONE,Coin Change,memoized,0.000710;0.000820;0.000618,6.55;5.68;5.31,0.000716,5.85,0.004417,17.54,0.000000
run_6_repetition_17,DONE,Levenshtein Distance,normal,0.008612;1.386626;8.000172,6.75;4.09;2.46,3.131803,4.43,9.398661,13.30,83.193499
run_7_repetition_17,DONE,Levenshtein Distance,memoized,0.001439;0.001182;0.000962,9.70;10.81;7.00,0.001194,9.17,0.007050,27.52,0.000000
run_8_repetition_17,DONE,Factorial,normal,0.002139;0.476156;1.769322,41.23;2120.77;3814.47,0.749206,1992.16,2.250337,5976.47,17.822750
run_9_repetition_17,DONE,Factorial,memoized,0.002661;0.680360;0.388136,52.83;16975.85;41979.58,0.357053,19669.42,1.073799,59008.26,9.014605
run_10_repetition_17,DONE,Matrix Chain Multiplication,normal,0.008939;0.325544;2.373092,4.64;3.10;2.31,0.902525,3.35,2.711091,10.04,20.513202
run_11_repetition_17,DONE,Matrix Chain Multiplication,memoized,0.002020;0.002076;0.001505,6.19;5.53;6.50,0.001867,6.07,0.009421,18.22,0.000000
run_12_repetition_17,DONE,Can I Win,normal,0.003230;0.864518;1.737596,3.27;2.38;1.46,0.868448,2.37,2.607914,7.12,15.222353
