__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_2_repetition_13,DONE,Knapsack,normal,0.000598;0.257672;0.570624,1.92;12.11;1.69,0.276298,5.24,0.832218,15.72,1.714289
run_3_repetition_13,DONE,Knapsack,memoized,0.000678;0.012415;0.018718,2.82;120.63;264.07,0.010604,129.17,0.035407,387.51,0.082981
run_4_repetition_13,DONE,Coin Change,normal,0.004568;0.098395;6.123026,6.12;5.35;4.64,2.075330,5.37,6.228936,16.11,57.938897
run_5_repetition_13,DONE,Coin Change,memoized,0.001209;0.000874;0.000776,6.55;5.68;5.31,0.000953,5.85,0.006523,17.54,0.000000
run_6_repetition_13,DONE,Levenshtein Distance,normal,0.004131;0.032891;8.896726,6.75;2.17;4.27,2.977916,4.40,8.937449,13.19,57.996191
run_7_repetition_13,DONE,Levenshtein Distance,memoized,0.001414;0.000307;0.001170,9.70;4.99;9.38,0.000964,8.03,0.005364,24.08,0.000000
run_8_repetition_13,DONE,Factorial,normal,0.002834;0.528910;1.818165,41.23;2120.77;3814.47,0.783303,1992.16,2.352645,5976.47,18.837000
run_9_repetition_13,DONE,Factorial,memoized,0.002850;0.529121;0.405722,52.83;16975.85;41979.58,0.312564,19669.42,0.940150,59008.26,6.131171
run_10_repetition_13,DONE,Matrix Chain Multiplication,normal,0.007516;0.324251;2.348225,4.56;3.07;2.20,0.893331,3.28,2.682629,9.83,18.764073
run_11_repetition_13,DONE,Matrix Chain Multiplication,memoized,0.002006;0.002286;0.001852,6.25;5.53;6.47,0.002048,6.08,0.009425,18.25,0.000000
run_12_repetition_13,DONE,Can I Win,normal,0.002491;0.711527;1.548610,3.27;2.38;1.46,0.754210,2.37,2.266067,7.12,20.766214
run_13_repetition_13,DONE,Can I Win,memoized,0.001876;0.036549;0.062342,6.41;142.80;289.01,0.033589,146.07,0.104543,438.22,0.319392
run_14_repetition_13,DONE,K-equal Sum Partitions,normal,0.001411;0.024436;0.113401,10.26;143.49;291.90,0.046416,148.55,0.141900,445.65,0.145325
